Date,Actual_Close,Predicted_Close
2026-02-03,25519.66721972179,25184.434
2026-02-04,25671.328915774146,25488.686
2026-02-05,25653.522786042693,25566.654
2026-02-06,25678.389013685017,25687.07
2026-02-09,25795.167476384067,25696.22
2026-02-10,25881.68433130007,25852.172
2026-02-11,25926.28512573208,26049.748
2026-02-12,25852.68593953879,26159.092
2026-02-13,25616.852595369754,26066.807
2026-02-16,25657.579431768183,25861.727
2026-02-17,25699.495089576376,25811.256
2026-02-18,25773.56925653915,25841.416
2026-02-19,25576.280664706435,25898.273
2026-02-20,25573.171542931832,25769.432
2026-02-23,25659.590281994493,25772.514
2026-02-24,25514.389443814922,25667.186
2026-02-25,25494.68068365497,25582.799
2026-02-26,25495.83646753098,25475.172
2026-02-27,25299.804691244844,25447.4
2026-03-02,25031.5127545407,25330.69
2026-03-04,24690.96814399984,25016.346
2026-03-05,24735.053768595255,24747.803
2026-03-06,24557.199403545026,24734.945
2026-03-09,24229.637544031626,24656.908
2026-03-10,24248.810849067817,24490.607
2026-03-11,24011.10494812789,24220.479
2026-03-12,23780.99164301345,24061.496
2026-03-13,23391.639465344302,23991.547
